Date,Adj Close,Close,High,Low,Open,Volume,return,log_return
2011-06-17,52.582,80.010,81.150,79.790,80.470,3135700,0.125,0.001
2011-06-20,52.799,80.340,80.830,79.720,79.720,4146300,0.412,0.004
2011-06-21,53.003,80.650,80.950,80.190,80.710,1863900,0.386,0.004
2011-06-22,52.582,80.010,80.940,79.950,80.640,1709600,-0.794,-0.008
2011-06-23,52.372,79.690,80.040,78.570,79.880,1812000,-0.400,-0.004
2011-06-24,52.050,79.200,79.810,79.120,79.780,1905000,-0.615,-0.006
2011-06-27,52.359,79.670,79.890,79.030,79.430,1192800,0.593,0.006
2011-06-28,52.208,79.440,79.840,79.240,79.790,1651600,-0.289,-0.003
2011-06-29,52.819,80.370,80.620,79.550,79.650,1630500,1.171,0.012
2011-06-30,53.213,80.970,81.270,80.090,80.400,1487100,0.747,0.007
2011-07-01,53.870,81.970,82.010,80.690,80.870,1200900,1.235,0.012
2011-07-05,53.213,80.970,81.630,80.640,81.630,1310400,-1.220,-0.012
2011-07-06,53.640,81.620,81.930,80.930,80.970,2339400,0.803,0.008
2011-07-07,53.470,81.360,82.230,81.240,82.230,1950500,-0.319,-0.003
2011-07-08,52.911,80.510,81.030,80.310,80.590,2071200,-1.045,-0.011
2011-07-11,52.563,79.980,80.110,79.510,79.730,1733800,-0.658,-0.007
2011-07-12,52.385,79.710,80.000,79.250,79.870,1975900,-0.338,-0.003
2011-07-13,52.359,79.670,80.880,79.440,80.070,1824700,-0.050,-0.001
2011-07-14,52.050,79.200,79.720,78.940,79.630,1574500,-0.590,-0.006
2011-07-15,51.505,78.370,79.460,77.610,79.460,2322800,-1.048,-0.011
2011-07-18,50.893,77.440,78.140,76.960,78.120,1574100,-1.187,-0.012
2011-07-19,51.524,78.400,78.670,77.470,77.510,1790900,1.240,0.012
2011-07-20,51.472,78.320,78.800,77.990,78.400,1431600,-0.102,-0.001
2011-07-21,52.681,80.160,80.390,78.590,78.790,1794700,2.349,0.023
2011-07-22,52.313,79.600,80.000,78.980,79.880,1272300,-0.699,-0.007
2011-07-25,52.116,79.300,79.740,78.530,78.910,1514700,-0.377,-0.004
2011-07-26,53.115,80.820,81.990,79.940,81.340,3087900,1.917,0.019
2011-07-27,50.907,77.460,80.580,77.220,80.280,2930800,-4.157,-0.042
2011-07-28,49.480,75.290,77.850,74.440,77.450,4943700,-2.801,-0.028
2011-07-29,49.770,75.730,76.940,74.590,74.620,3452100,0.584,0.006
2011-08-01,48.935,74.460,76.110,73.430,76.110,3494100,-1.677,-0.017
2011-08-02,48.422,73.680,75.110,73.620,73.960,4183000,-1.048,-0.011
2011-08-03,48.343,73.560,74.010,72.350,73.540,3432800,-0.163,-0.002
2011-08-04,46.871,71.320,72.960,71.300,72.880,3333000,-3.045,-0.031
2011-08-05,47.857,72.820,73.980,71.980,72.040,6414600,2.103,0.021
2011-08-08,45.281,68.900,72.870,68.770,71.650,4897200,-5.383,-0.055
2011-08-09,46.582,70.880,70.990,67.060,69.450,8253700,2.874,0.028
2011-08-10,43.947,66.870,69.800,66.680,69.480,4806500,-5.657,-0.058
2011-08-11,45.241,68.840,69.700,66.360,66.990,3298900,2.946,0.029
2011-08-12,45.425,69.120,70.350,68.070,69.660,3262300,0.407,0.004
2011-08-15,46.175,70.260,70.480,69.420,69.830,3031300,1.649,0.016
2011-08-16,46.457,70.690,71.930,69.370,69.990,3184000,0.612,0.006
2011-08-17,46.786,71.190,71.660,70.620,71.000,2366900,0.707,0.007
2011-08-18,45.596,69.380,69.960,68.320,69.740,4174800,-2.543,-0.026
2011-08-19,45.603,69.390,70.230,68.170,68.330,3031700,0.014,0.000
2011-08-22,45.951,69.920,70.770,69.400,70.400,1990200,0.764,0.008
2011-08-23,47.239,71.880,71.980,70.110,70.230,2530900,2.803,0.028
2011-08-24,48.146,73.260,73.290,71.520,71.770,1710300,1.920,0.019
2011-08-25,47.344,72.040,73.750,71.730,73.530,2004400,-1.665,-0.017
2011-08-26,48.140,73.250,73.270,70.520,71.710,1842500,1.680,0.017
2011-08-29,48.679,74.070,74.460,73.140,73.810,1869100,1.119,0.011
2011-08-30,49.196,74.100,74.570,72.500,73.210,2193800,1.064,0.011
2011-08-31,49.256,74.190,74.750,73.670,74.580,1814500,0.121,0.001
2011-09-01,48.499,73.050,75.000,72.950,74.400,2352800,-1.537,-0.015
2011-09-02,47.384,71.370,72.660,71.130,72.140,2202800,-2.300,-0.023
2011-09-06,47.284,71.220,71.330,69.100,69.670,2347900,-0.210,-0.002
2011-09-07,48.426,72.940,73.180,71.430,72.100,1668400,2.415,0.024
2011-09-08,47.762,71.940,73.000,71.820,72.550,1735700,-1.371,-0.014
2011-09-09,47.517,71.570,71.980,70.530,71.160,2546700,-0.514,-0.005
2011-09-12,47.962,72.240,72.290,70.500,70.500,2527900,0.936,0.009
2011-09-13,48.274,72.710,74.220,72.160,72.620,3090600,0.651,0.006
2011-09-14,48.851,73.580,74.500,72.610,73.070,2807500,1.197,0.012
2011-09-15,50.086,75.440,75.500,73.760,73.760,2038400,2.528,0.025
2011-09-16,50.478,76.030,76.210,74.510,75.280,4099500,0.782,0.008
2011-09-19,50.916,76.690,77.040,74.840,75.060,3547000,0.868,0.009
2011-09-20,50.086,75.440,76.990,75.320,76.940,3063100,-1.630,-0.016
2011-09-21,48.234,72.650,75.730,72.650,75.470,4054200,-3.698,-0.038
2011-09-22,48.559,73.140,74.210,70.770,70.870,5399200,0.674,0.007
2011-09-23,47.862,72.090,74.720,71.740,73.480,4777100,-1.436,-0.014
2011-09-26,48.984,73.780,73.800,72.190,72.980,4816700,2.344,0.023
2011-09-27,49.309,74.270,75.230,73.710,75.170,2929300,0.664,0.007
